CustomerID,R,Frequency,Monetary,Segment
12347.0,4807,7,4060.4,潜力用户
12348.0,4880,4,1195.08,一般用户
12349.0,4824,1,1757.55,一般用户
12350.0,5115,1,334.4,一般用户
12352.0,4841,11,1545.41,一般用户
12353.0,5009,1,89.0,一般用户
12354.0,5037,1,1079.4,一般用户
12355.0,5019,1,459.4,一般用户
12356.0,4828,3,2710.63,潜力用户
12357.0,4838,1,6207.67,潜力用户
12358.0,4807,2,1168.06,一般用户
12359.0,4813,6,6245.53,潜力用户
12360.0,4857,3,2662.06,潜力用户
12361.0,5092,1,189.9,一般用户
12362.0,4808,13,5154.58,潜力用户
12363.0,4915,2,552.0,一般用户
12364.0,4813,4,1248.3,一般用户
12365.0,5096,3,320.69,一般用户
12367.0,4809,1,168.9,一般用户
12370.0,4856,4,3424.73,潜力用户
12371.0,4850,2,1887.96,潜力用户
12372.0,4877,3,1298.04,一般用户
12373.0,5116,1,364.6,一般用户
12374.0,4830,1,742.9300000000001,一般用户
12375.0,4808,3,455.42,一般用户
12377.0,5120,2,1628.12,一般用户
12378.0,4935,1,3948.14,一般用户
12379.0,4887,3,850.29,一般用户
12380.0,4827,5,2720.56,潜力用户
12381.0,4810,6,1803.96,一般用户
12383.0,4990,6,1775.47,一般用户
12384.0,4834,3,566.16,一般用户
12386.0,5143,2,358.7,一般用户
12388.0,4821,6,2780.66,潜力用户
12390.0,4885,1,549.84,一般用户
12391.0,4827,1,460.89,一般用户
12393.0,4877,4,1582.6000000000001,一般用户
12394.0,4869,2,821.92,一般用户
12395.0,4821,15,2703.08,潜力用户
12397.0,4841,2,2409.9,潜力用户
12398.0,4851,1,1635.6599999999999,一般用户
12399.0,4924,4,1038.45,一般用户
12401.0,5108,1,84.3,一般用户
12402.0,5128,1,225.6,一般用户
12403.0,4855,2,409.7,一般用户
12405.0,4954,1,1710.39,一般用户
12406.0,4827,3,3135.75,潜力用户
12407.0,4855,5,1621.08,一般用户
12408.0,4838,9,2842.57,潜力用户
12409.0,4884,7,9641.33,一般用户
12410.0,5106,3,681.0799999999999,一般用户
12412.0,4880,3,1226.88,一般用户
12413.0,4872,5,694.15,一般用户
12414.0,5022,3,562.41,一般用户
12415.0,4830,19,50030.09,潜力用户
12417.0,4808,12,3578.8,潜力用户
12418.0,4918,1,668.58,一般用户
12420.0,4869,1,600.39,一般用户
12421.0,4821,5,806.27,一般用户
12422.0,4901,3,803.5600000000001,一般用户
12423.0,4806,9,1849.11,一般用户
12424.0,4968,2,1608.3200000000002,一般用户
12425.0,4883,1,777.2,一般用户
12426.0,5000,1,582.73,一般用户
12427.0,4827,4,708.37,一般用户
12428.0,4831,12,7877.2,潜力用户
12429.0,4814,4,3700.0,潜力用户
12430.0,4848,1,256.4,一般用户
12431.0,4841,18,5188.55,潜力用户
12432.0,4848,5,5059.32,潜力用户
12433.0,4806,7,12378.51,潜力用户
12434.0,4890,4,765.19,一般用户
12435.0,4885,2,6762.450000000001,一般用户
12436.0,4905,1,509.01,一般用户
12437.0,4807,19,4818.66,潜力用户
12438.0,4819,2,2906.85,潜力用户
12441.0,5172,1,173.55,一般用户
12442.0,4808,1,172.06,一般用户
12444.0,4826,5,5005.46,潜力用户
12445.0,4827,1,133.4,一般用户
12446.0,4863,1,1002.3100000000001,一般用户
12447.0,5048,1,476.49,一般用户
12448.0,4849,1,449.45,一般用户
12449.0,4827,4,4067.29,潜力用户
12450.0,4961,2,197.88,一般用户
12451.0,4816,5,8933.52,潜力用户
12452.0,4822,3,428.57,一般用户
12453.0,4939,1,707.09,一般用户
12454.0,4858,2,5.684341886080802e-14,一般用户
12455.0,4878,6,2308.46,一般用户
12456.0,4849,4,3153.89,潜力用户
12457.0,4863,10,1738.78,一般用户
12458.0,4876,2,947.4,一般用户
12461.0,4899,2,826.88,一般用户
12462.0,4807,4,1124.01,一般用户
12463.0,4851,7,1303.63,一般用户
12464.0,4815,8,1212.05,一般用户
12465.0,4813,3,733.89,一般用户
12468.0,4948,3,724.0400000000001,一般用户
12471.0,4807,49,18704.92,潜力用户
12472.0,4836,13,6229.48,潜力用户
12473.0,4834,9,2848.23,潜力用户
12474.0,4822,30,7112.47,潜力用户
12475.0,4859,1,719.38,一般用户
12476.0,4806,20,6546.58,潜力用户
12477.0,4828,9,12452.01,潜力用户
12478.0,4809,1,680.99,一般用户
12479.0,4809,3,477.3,一般用户
12480.0,4833,4,2964.83,潜力用户
12481.0,4828,11,5590.86,潜力用户
12483.0,4822,13,2327.13,潜力用户
12484.0,4838,8,4495.27,潜力用户
12488.0,4815,3,1298.66,一般用户
12489.0,5141,1,334.93,一般用户
12490.0,4810,10,5417.93,潜力用户
12491.0,4844,1,460.40000000000003,一般用户
12492.0,4868,2,263.21000000000004,一般用户
12493.0,4971,3,416.79,一般用户
12494.0,4815,13,1139.3500000000001,一般用户
12497.0,4887,1,780.6,一般用户
12498.0,4827,3,403.70000000000005,一般用户
12500.0,4828,13,2244.99,潜力用户
12501.0,5120,2,2089.68,一般用户
12502.0,4901,5,3723.87,一般用户
12503.0,5143,1,-1126.0,一般用户
12504.0,4823,4,114.0,一般用户
12505.0,5106,1,-4.5,一般用户
12506.0,5038,1,73.5,一般用户
12507.0,4939,4,639.6600000000001,一般用户
12508.0,4831,2,398.27,一般用户
12509.0,5089,1,176.5,一般用户
12510.0,4948,2,982.5699999999999,一般用户
12512.0,4871,2,138.03,一般用户
12513.0,4890,2,586.79,一般用户
12514.0,5072,1,1017.68,一般用户
12515.0,5158,1,383.7,一般用户
12516.0,4883,2,1208.38,一般用户
12517.0,4833,6,2464.89,潜力用户
12518.0,4806,5,2056.89,潜力用户
12519.0,4869,1,340.84,一般用户
12520.0,4884,6,2582.51,一般用户
12521.0,4948,1,599.68,一般用户
12522.0,4844,2,188.72,一般用户
12523.0,4807,13,1745.57,一般用户
12524.0,4814,8,4148.84,潜力用户
12526.0,4806,3,1316.66,一般用户
12527.0,4887,3,348.71000000000004,一般用户
12528.0,4814,8,1922.28,潜力用户
12530.0,4865,5,1623.63,一般用户
12531.0,4820,1,125.22,一般用户
12532.0,4835,1,349.83000000000004,一般用户
12534.0,4936,1,1089.18,一般用户
12535.0,4897,2,716.35,一般用户
12536.0,4813,5,4106.82,潜力用户
12538.0,4834,1,363.95,一般用户
12539.0,4827,5,3852.5,潜力用户
12540.0,4825,19,13309.039999999999,潜力用户
12541.0,4835,3,981.18,一般用户
12544.0,4835,2,355.7,一般用户
12545.0,4880,2,1000.39,一般用户
12546.0,4852,3,1141.5,一般用户
12547.0,5003,2,207.79999999999998,一般用户
12548.0,4971,1,95.19999999999999,一般用户
12550.0,4884,1,964.83,一般用户
12551.0,5163,1,168.0,一般用户
12552.0,4844,2,437.82,一般用户
12553.0,4813,14,3652.25,潜力用户
12556.0,4855,2,603.71,一般用户
12557.0,4821,4,1631.3400000000001,一般用户
12558.0,4807,2,1.0658141036401503e-14,一般用户
12559.0,5116,3,536.21,一般用户
12560.0,4810,4,2101.39,潜力用户
12561.0,5108,1,238.85,一般用户
12562.0,4813,7,3781.7400000000002,潜力用户
12564.0,5066,1,456.9,一般用户
12565.0,5087,2,131.17,一般用户
12566.0,4878,2,346.7,一般用户
12567.0,4828,11,9114.94,潜力用户
12569.0,4807,35,4064.9900000000002,潜力用户
12571.0,4845,2,519.61,一般用户
12572.0,4814,3,1004.72,一般用户
12573.0,5032,1,160.54000000000002,一般用户
12574.0,5121,1,218.45,一般用户
12576.0,4841,6,1306.98,一般用户
12577.0,4840,4,595.4,一般用户
12578.0,4826,4,2753.36,潜力用户
12579.0,4878,3,410.72,一般用户
12580.0,5052,1,415.7,一般用户
12581.0,4845,1,197.71,一般用户
12582.0,5044,2,511.36,一般用户
12583.0,4808,18,6895.74,潜力用户
12584.0,4809,18,1893.95,潜力用户
12585.0,5039,4,1844.57,一般用户
12586.0,4822,2,179.94000000000003,一般用户
12587.0,4813,1,144.0,一般用户
12588.0,4844,1,214.89999999999998,一般用户
12589.0,4834,2,646.68,一般用户
12590.0,4995,3,7726.38,一般用户
12591.0,5122,1,452.84999999999997,一般用户
12592.0,4897,2,437.6,一般用户
12593.0,4914,3,418.09999999999997,一般用户
12594.0,4843,11,3320.2200000000003,潜力用户
12596.0,4856,2,618.27,一般用户
12597.0,4824,5,3683.13,潜力用户
12598.0,4815,9,3002.68,潜力用户
12599.0,4834,7,1032.58,一般用户
12600.0,4834,11,2581.04,潜力用户
12601.0,4995,6,569.5600000000001,一般用户
12602.0,4864,1,153.12,一般用户
12603.0,4827,1,739.1999999999999,一般用户
12604.0,4884,2,254.18,一般用户
12605.0,5170,1,-7.5,一般用户
12607.0,4863,2,3.552713678800501e-15,一般用户
12609.0,4883,3,1126.85,一般用户
12610.0,4828,7,2057.99,潜力用户
12611.0,4857,1,1049.32,一般用户
12612.0,4863,2,643.59,一般用户
12613.0,4836,6,3218.98,潜力用户
12614.0,5083,1,315.6,一般用户
12615.0,4807,4,2291.19,潜力用户
12616.0,4890,5,657.25,一般用户
12617.0,4834,1,355.53,一般用户
12618.0,4827,1,177.31,一般用户
12619.0,4821,13,2071.73,潜力用户
12620.0,4820,3,1339.41,一般用户
12621.0,4807,23,12044.27,潜力用户
12622.0,5037,1,180.1,一般用户
12623.0,5081,1,305.1,一般用户
12624.0,4911,2,641.13,一般用户
12625.0,5017,3,2614.32,一般用户
12626.0,4828,13,6388.35,潜力用户
12627.0,4816,7,4466.53,潜力用户
12628.0,4809,4,769.61,一般用户
12630.0,4815,2,1270.88,一般用户
12631.0,4862,1,640.5,一般用户
12633.0,4864,5,1928.63,潜力用户
12635.0,4895,2,1685.18,一般用户
12637.0,4872,10,5953.25,潜力用户
12638.0,4838,1,671.69,一般用户
12639.0,5044,1,486.1,一般用户
12640.0,4829,3,1174.58,一般用户
12641.0,4920,1,185.9,一般用户
12642.0,4830,3,1013.26,一般用户
12643.0,4933,6,1827.6000000000001,一般用户
12644.0,4935,1,477.91,一般用户
12645.0,4839,5,1755.38,一般用户
12646.0,4810,2,1346.97,一般用户
12647.0,4827,13,3669.92,潜力用户
12648.0,4960,1,318.05,一般用户
12649.0,4912,4,595.07,一般用户
12650.0,4808,1,314.44,一般用户
12651.0,5140,1,114.0,一般用户
12652.0,5127,2,914.53,一般用户
